央视,#genre#
CCTV-1HD,http://A/ku9/py/live_b_ku9.py?src=http%3A%2F%2F222.173.9.81%2F00%2FSNM%2FCHANNEL00000311%2Findex.m3u8
CCTV-1HD,http://A/ku9/py/live_b_ku9.py?src=http%3A%2F%2F38.75.136.137%3A82%2Flive1%2Fjsb.m3u8%3Fid%3Dcctv1hd%26usign%3D__KU9_AUTO__
CCTV-1HD,http://A/ku9/py/live_b_ku9.py?src=http%3A%2F%2F38.75.136.137%3A82%2Flive1%2Fdsdq.m3u8%3Fid%3Dcctv1hd%26usign%3D__KU9_AUTO__
CCTV-1HD,http://A/ku9/py/live_b_ku9.py?src=http%3A%2F%2F38.75.136.137%3A82%2Flive1%2Fjsb1.m3u8%3Fid%3Dcctv1hd%26usign%3D__KU9_AUTO__
CCTV-1HD,http://A/ku9/py/live_b_ku9.py?src=http%3A%2F%2F38.75.136.137%3A82%2Flive1%2Fjsb.m3u8%3Fid%3Dcctv1hd%26ip%3Dwhus08%26usign%3D__KU9_AUTO__
CCTV-1HD,http://A/ku9/py/live_b_ku9.py?src=http%3A%2F%2F38.75.136.137%3A82%2Flive1%2Fjsb.m3u8%3Fid%3Dcctv1hd%26ip%3Dwhus30%26usign%3D__KU9_AUTO__
CCTV-1HD,http://A/ku9/py/live_b_ku9.py?src=http%3A%2F%2F38.75.136.137%3A82%2Flive1%2Fjsb.m3u8%3Fid%3Dcctv1hd%26ip%3Dwhus12%26usign%3D__KU9_AUTO__
CCTV-1HD,http://A/ku9/py/live_b_ku9.py?src=http%3A%2F%2F38.75.136.137%3A82%2Flive1%2Fjsb.m3u8%3Fid%3Dcctv1hd%26ip%3Dwhus02%26usign%3D__KU9_AUTO__
CCTV-1HD,http://A/ku9/py/live_b_ku9.py?src=http%3A%2F%2F38.75.136.137%3A82%2Flive1%2Fjsb.m3u8%3Fid%3Dcctv1hd%26ip%3Dwhus03%26usign%3D__KU9_AUTO__
CCTV-1HD,http://A/ku9/py/live_b_ku9.py?src=http%3A%2F%2F38.75.136.137%3A82%2Flive1%2Fjsb.m3u8%3Fid%3Dcctv1hd%26ip%3Dwhus05%26usign%3D__KU9_AUTO__
CCTV-1HD,http://A/ku9/py/live_b_ku9.py?src=http%3A%2F%2F38.75.136.137%3A82%2Flive1%2Fjsb.m3u8%3Fid%3Dcctv1hd%26ip%3Dwhus15%26usign%3D__KU9_AUTO__
CCTV-1HD,http://A/ku9/py/live_b_ku9.py?src=http%3A%2F%2F38.75.136.137%3A82%2Flive1%2Fjsb.m3u8%3Fid%3Dcctv1hd%26ip%3Dwhus14%26usign%3D__KU9_AUTO__
CCTV-1HD,http://A/ku9/py/live_b_ku9.py?src=http%3A%2F%2F38.75.136.137%3A82%2Flive1%2Fjsb.m3u8%3Fid%3Dcctv1hd%26ip%3Dopfr02%26usign%3D__KU9_AUTO__
CCTV-1HD,http://A/ku9/py/live_b_ku9.py?src=http%3A%2F%2F38.75.136.137%3A82%2Flive1%2Fjsb.m3u8%3Fid%3Dcctv1hd%26ip%3Dwhus06%26usign%3D__KU9_AUTO__
CCTV-1HD,http://A/ku9/py/live_b_ku9.py?src=http%3A%2F%2F38.75.136.137%3A82%2Flive1%2Fjsb.m3u8%3Fid%3Dcctv1hd%26ip%3Dwhus22%26usign%3D__KU9_AUTO__
CCTV-1HD,http://A/ku9/py/live_b_ku9.py?src=http%3A%2F%2F38.75.136.137%3A82%2Flive1%2Fjsb.m3u8%3Fid%3Dcctv1hd%26ip%3Dwhus17%26usign%3D__KU9_AUTO__
CCTV-1HD,http://A/ku9/py/live_b_ku9.py?src=http%3A%2F%2F38.75.136.137%3A82%2Flive1%2Fjsb.m3u8%3Fid%3Dcctv1hd%26ip%3Dwhus10%26usign%3D__KU9_AUTO__
CCTV-1HD,http://A/ku9/py/live_b_ku9.py?src=http%3A%2F%2F38.75.136.137%3A82%2Flive1%2Fjsb.m3u8%3Fid%3Dcctv1hd%26ip%3Dwhus18%26usign%3D__KU9_AUTO__
CCTV-1HD,http://A/ku9/py/live_b_ku9.py?src=http%3A%2F%2F38.75.136.137%3A82%2Flive1%2Fjsb.m3u8%3Fid%3Dcctv1hd%26ip%3Dwhus19%26usign%3D__KU9_AUTO__
CCTV-1HD,http://A/ku9/py/live_b_ku9.py?src=http%3A%2F%2F38.75.136.137%3A82%2Flive1%2Fjsb.m3u8%3Fid%3Dcctv1hd%26ip%3Dwhus20%26usign%3D__KU9_AUTO__
CCTV-1HD,http://A/ku9/py/live_b_ku9.py?src=http%3A%2F%2F38.75.136.137%3A82%2Flive1%2Fjsb.m3u8%3Fid%3Dcctv1hd%26ip%3Dwhus25%26usign%3D__KU9_AUTO__
CCTV-1HD,http://A/ku9/py/live_b_ku9.py?src=http%3A%2F%2F38.75.136.137%3A82%2Flive1%2Fjsb.m3u8%3Fid%3Dcctv1hd%26ip%3Dpsus01%26usign%3D__KU9_AUTO__
CCTV-1HD,http://A/ku9/py/live_b_ku9.py?src=http%3A%2F%2F38.75.136.137%3A82%2Flive1%2Fjsb.m3u8%3Fid%3Dcctv1hd%26ip%3Dpsus03%26usign%3D__KU9_AUTO__
CCTV-1HD,http://A/ku9/py/live_b_ku9.py?src=http%3A%2F%2F38.75.136.137%3A82%2Flive2%2Fbfgd.m3u8%3Fid%3D4200000488%26usign%3D__KU9_AUTO__
CCTV-1HD,http://A/ku9/py/live_b_ku9.py?src=http%3A%2F%2F38.75.136.137%3A82%2Flive1%2Fcctvxw.m3u8%3Fbt%3D2%26id%3Dcctv1hd%26usign%3D__KU9_AUTO__
CCTV-1HD,http://A/ku9/py/live_b_ku9.py?src=http%3A%2F%2F38.75.136.137%3A82%2Flive1%2Fjdtv2.m3u8%3Fid%3Dcctv1hd%26usign%3D__KU9_AUTO__
CCTV-1HD,http://A/ku9/py/live_b_ku9.py?src=http%3A%2F%2F38.75.136.137%3A82%2Flive1%2Fjdtv2.m3u8%3Fisp%3Ddx%26id%3Dcctv1hd%26usign%3D__KU9_AUTO__
CCTV-1HD,http://A/ku9/py/live_b_ku9.py?src=http%3A%2F%2F38.75.136.137%3A82%2Flive1%2Fjdtv2.m3u8%3Fisp%3Dlt%26id%3Dcctv1hd%26usign%3D__KU9_AUTO__
CCTV-1HD,http://A/ku9/py/live_b_ku9.py?src=http%3A%2F%2F38.75.136.137%3A82%2Flive2%2Fbfgd.m3u8%3Fid%3D4200000484%26usign%3D__KU9_AUTO__
CCTV-2HD,http://A/ku9/py/live_b_ku9.py?src=http%3A%2F%2F38.75.136.137%3A82%2Flive1%2Fcctv2.m3u8%3Fid%3Dcctv2hd%26usign%3D__KU9_AUTO__
CCTV-2HD,http://A/ku9/py/live_b_ku9.py?src=http%3A%2F%2F222.173.9.81%2F00%2FSNM%2FCHANNEL00000317%2Findex.m3u8
CCTV-2HD,http://A/ku9/py/live_b_ku9.py?src=http%3A%2F%2F38.75.136.137%3A82%2Flive1%2Fjsb.m3u8%3Fid%3Dcctv2hd%26usign%3D__KU9_AUTO__
CCTV-2HD,http://A/ku9/py/live_b_ku9.py?src=http%3A%2F%2F38.75.136.137%3A82%2Flive1%2Fdsdq.m3u8%3Fid%3Dcctv2hd%26usign%3D__KU9_AUTO__
CCTV-2HD,http://A/ku9/py/live_b_ku9.py?src=http%3A%2F%2F38.75.136.137%3A82%2Flive1%2Fjsb1.m3u8%3Fid%3Dcctv2hd%26usign%3D__KU9_AUTO__
CCTV-2HD,http://A/ku9/py/live_b_ku9.py?src=http%3A%2F%2F38.75.136.137%3A82%2Flive1%2Fjsb.m3u8%3Fid%3Dcctv2hd%26ip%3Dwhus09%26usign%3D__KU9_AUTO__
CCTV-2HD,http://A/ku9/py/live_b_ku9.py?src=http%3A%2F%2F38.75.136.137%3A82%2Flive1%2Fjsb.m3u8%3Fid%3Dcctv2hd%26ip%3Dwhus27%26usign%3D__KU9_AUTO__
CCTV-2HD,http://A/ku9/py/live_b_ku9.py?src=http%3A%2F%2F38.75.136.137%3A82%2Flive1%2Fjsb.m3u8%3Fid%3Dcctv2hd%26ip%3Dwhus28%26usign%3D__KU9_AUTO__
CCTV-2HD,http://A/ku9/py/live_b_ku9.py?src=http%3A%2F%2F38.75.136.137%3A82%2Flive1%2Fjsb.m3u8%3Fid%3Dcctv2hd%26ip%3Dwhus22%26usign%3D__KU9_AUTO__
CCTV-2HD,http://A/ku9/py/live_b_ku9.py?src=http%3A%2F%2F38.75.136.137%3A82%2Flive1%2Fjsb.m3u8%3Fid%3Dcctv2hd%26ip%3Dwhus04%26usign%3D__KU9_AUTO__
CCTV-2HD,http://A/ku9/py/live_b_ku9.py?src=http%3A%2F%2F38.75.136.137%3A82%2Flive1%2Fjsb.m3u8%3Fid%3Dcctv2hd%26ip%3Dopfr02%26usign%3D__KU9_AUTO__
CCTV-2HD,http://A/ku9/py/live_b_ku9.py?src=http%3A%2F%2F38.75.136.137%3A82%2Flive1%2Fjsb.m3u8%3Fid%3Dcctv2hd%26ip%3Dwhus23%26usign%3D__KU9_AUTO__
CCTV-2HD,http://A/ku9/py/live_b_ku9.py?src=http%3A%2F%2F38.75.136.137%3A82%2Flive1%2Fjsb.m3u8%3Fid%3Dcctv2hd%26ip%3Dwhus01%26usign%3D__KU9_AUTO__
